27,218,88893380.125
26,218,69967018.5775
183,146,62969184.49
71,205,62194284.3775
98,142,59014035.25
14,117,57474410.11
71,206,53435776.6525
183,145,49695878.9375
72,205,49400322.6475
98,143,48024964.2725
13,117,47957539.5275
226,215,46675305.0625
27,219,46570018.7525
260,48,41283206.66
184,146,40825336.46
26,219,38473324.91
226,214,36690877.2275
25,209,36608668.375
250,175,36425240.99
215,216,31920540.0625
21,199,30775850.11
99,142,30295836.572499998
15,189,29497666.0
72,206,29036378.39
12,198,28463023.21
261,48,27698160.875
184,145,27575591.71
227,215,27118855.9375
260,47,26635125.34
70,206,26183791.66
15,190,25892594.7725
97,142,25835493.4375
13,118,25586631.25
25,208,25582248.627499998
120,195,25278915.8275
16,119,25110923.875
14,118,25025567.75
16,189,24388376.34
250,174,24123411.634999998
26,151,22999622.665
25,210,22444747.1875
250,176,21643282.490000002
12,197,21570728.75
216,216,21474726.715
261,47,20750493.3025
264,12,20707717.2725
99,143,20517256.0475
67,33,20503478.39
24,209,20406378.2275
131,93,19415585.884999998
97,193,19287527.9525
189,78,19091545.4225
16,101,18817253.6725
22,199,18061039.939999998
263,12,17982579.8975
13,198,17921796.490000002
15,90,17280539.84
16,88,16857754.990000002
16,188,16800970.21
119,195,16719644.665
188,78,16516180.6975
35,209,16507413.8125
225,215,16316522.765
49,79,15626841.0475
134,113,15550908.9725
120,196,15369122.8475
97,194,15210973.765
24,210,15209514.2225
215,217,15148991.9375
263,13,15087557.29
68,33,15014768.0225
26,152,14998719.9775
134,112,14872610.71
132,93,14692368.71
260,49,14620411.0475
120,194,14261457.215
16,100,13515029.59
121,195,13495266.71
15,117,13298025.1275
14,116,13147925.81
247,209,13108272.01
264,13,13087389.4025
126,103,12913402.06
119,194,12785472.1875
29,207,12592096.6275
16,102,11830660.0
49,78,11793046.49
10,79,11761532.2225
67,34,11700732.86
20,199,11398802.9725
216,217,11340453.5975
127,103,11120059.94
16,87,11040701.99
13,197,10988019.085
40,81,10835937.11
16,190,10784619.8225
24,208,10606319.54
25,151,10523006.0275
247,208,10499677.36
127,104,10405482.865
13,116,10377906.9375
9,105,9979594.315
67,32,9963906.74
226,216,9938585.1875
126,104,9929805.26
28,219,9896326.8475
188,79,9892264.99
21,198,9764418.315
189,79,9602517.685
35,208,9404975.5275
28,218,9397964.5
31,205,9389881.6225
26,150,9319540.6875
128,103,9144846.535
27,63,9142190.41
119,196,8876582.125
11,197,8710140.0
22,184,8610739.2975
5,94,8601380.5625
35,210,8577437.7475
16,120,8529389.44
34,209,8523639.6725
49,80,8510330.3275
128,104,8490781.6775
96,193,8485713.0
25,207,8185544.4275
217,5,8139391.047499999
96,194,8136247.5275
207,205,8071296.3774999995
185,129,8003829.0725
218,40,7910814.9350000005
21,200,7863531.4399999995
10,78,7835603.609999999
27,64,7829266.125
25,211,7712025.1225000005
182,145,7711631.29
248,208,7444201.16
133,113,7425116.39
118,194,7419920.635
32,205,7323761.109999999
36,209,7280403.4025
131,108,7042129.9275
23,190,7037291.9375
58,62,6967398.59
57,62,6953466.1025
9,79,6927854.9350000005
16,197,6882548.7225
35,211,6826244.672499999
133,112,6796185.74
216,5,6753991.9399999995
208,206,6698241.0275
28,207,6681659.2524999995
225,216,6668506.2475000005
33,209,6649779.61
131,94,6646786.4375
208,207,6646727.7475000005
130,93,6642639.625
132,108,6587082.859999999
209,207,6533890.297499999
17,87,6491512.6274999995
131,92,6286034.4025
218,39,6236395.6274999995
121,103,6235891.6225000005
100,100,6101473.79
