154,93
124,150
119,150
74,150
161,149
155,149
115,149
72,149
180,148
167,148
153,148
151,148
171,67
107,148
74,148
144,69
172,69
139,70
147,70
178,70
142,71
129,149
174,72
151,73
148,74
168,74
175,74
144,75
170,75
171,147
157,147
118,147
154,146
152,146
127,146
172,145
170,145
224,144
182,144
180,144
162,144
165,92
75,144
156,93
168,94
153,95
184,96
153,97
156,98
166,98
184,98
153,99
168,99
153,101
155,101
166,101
227,143
138,140
69,130
158,106
72,128
161,107
143,108
69,125
61,123
166,117
168,108
172,108
59,122
146,109
149,109
175,109
161,110
177,110
168,111
177,119
146,112
173,113
65,114
169,114
59,119
67,118
176,115
153,116
169,117
159,117
126,150
169,150
173,150
175,150
180,150
112,151
122,151
139,151
156,151
158,151
164,151
166,151
138,51
57,124
166,108
139,68
63,125
141,140
78,141
228,146
161,103
156,108
80,117
147,72
138,50
57,118
176,117
67,117
169,116
139,67
172,68
146,69
177,69
141,70
158,116
157,108
171,73
175,73
144,74
146,74
79,115
160,102
169,114
163,114
160,114
153,114
64,114
157,111
164,91
153,92
168,93
153,94
157,97
165,97
183,97
153,98
166,99
146,111
154,100
172,114
60,103
174,104
174,109
157,105
178,105
148,106
152,106
160,106
168,106
165,108
142,108
61,118
58,121
61,122
56,123
171,144
68,124
63,126
69,128
230,134
138,139
78,140
226,141
66,142
156,142
180,142
74,144
82,91
184,120
79,108
194,123
204,130
140,105
211,87
60,111
148,140
115,76
142,49
142,135
58,140
82,140
134,58
134,55
118,79
80,100
190,86
84,132
129,128
170,138
90,140
198,81
141,128
218,110
138,51
180,53
181,56
105,57
136,59
139,67
145,69
172,69
177,70
142,72
184,72
146,73
172,73
113,76
118,79
191,86
211,87
84,90
154,92
156,92
187,92
168,93
152,95
182,96
165,97
80,100
155,100
165,100
168,102
59,103
155,103
172,105
141,106
148,106
165,106
79,108
158,108
162,108
145,109
174,109
218,110
64,113
154,115
79,116
158,116
168,116
175,116
67,118
57,119
185,120
61,122
194,123
70,125
63,126
129,128
141,128
69,129
201,129
83,132
211,135
179,53
136,58
179,65
138,67
184,69
212,69
174,70
143,72
112,76
117,79
200,81
212,86
84,89
81,91
165,93
186,93
153,95
164,96
81,98
153,98
183,98
79,101
160,101
58,103
172,103
77,105
148,105
139,107
160,107
57,110
145,110
174,110
63,114
153,114
165,115
67,117
77,117
176,117
57,120
62,122
81,122
186,122
193,122
69,127
127,127
141,127
178,64
147,70
174,70
184,70
116,78
80,91
188,91
155,93
165,95
182,97
66,101
147,103
172,103
78,105
161,105
141,107
170,107
145,109
174,109
64,114
155,114
165,114
76,116
176,116
97,82
79,92
164,94
189,94
156,97
181,99
77,104
171,104
