325,348,757262109.89
326,348,716157237.5975
179,288,604419484.8775
184,231,598636669.5475
511,313,585835736.9375
317,345,563433105.4725
319,282,536281092.78499997
178,288,518500462.985
474,186,504732046.9475
314,211,501345388.90250003
319,283,498648165.51
317,346,484227153.3275
318,345,467020263.49
502,103,439203098.5475
511,314,437630533.0625
192,290,437372733.3125
179,287,430301997.6775
530,199,429696217.6475
184,233,425742019.06
488,306,425223920.4475
313,211,404630967.85249996
325,347,403312675.19
183,288,401772554.8975
511,312,394979162.75
340,270,390006569.09749997
314,210,381107619.6875
179,289,380901608.86
318,283,378139530.47249997
316,222,375936273.59000003
181,289,375557852.86
315,220,372198696.4375
378,310,371528102.1225
454,88,368812104.3275
506,102,366783092.5625
380,288,365145734.81
181,288,361961624.7725
246,177,361533553.6775
237,131,358808684.9975
318,282,358594930.64
184,235,356422563.71
182,288,356328510.24
489,149,356208446.4275
341,270,349927443.36
192,289,349233363.25
356,49,348635985.0475
458,87,341753157.14
184,234,338603198.76
530,200,338560908.2725
320,282,336739463.8975
513,314,336649919.5
178,289,335697559.375
453,88,335429151.375
193,290,334498176.0
501,103,333267845.39
184,232,332671548.0625
507,323,332250643.71500003
488,149,331215929.51
493,306,329132574.3275
315,211,327541786.2475
410,218,326889716.06
318,346,326813150.0
183,251,325132961.1875
313,210,324887238.11
488,251,323769251.585
340,273,322439093.5025
420,268,318054319.0025
489,306,317958621.2275
245,177,317176499.0775
183,255,313880723.64
378,311,313471920.89
339,249,313141542.19
511,324,312788170.0
356,50,312720313.21
339,167,312435642.9025
506,337,310695626.21500003
344,167,310447935.94
326,347,309095723.40250003
186,285,308409801.74
510,283,307354662.9975
488,307,307174437.4375
451,175,306526046.2525
433,182,304760953.6975
411,268,304617625.1725
450,130,303079321.4475
488,250,302721357.22749996
513,315,301504246.69
420,269,301460754.53499997
523,198,300752526.085
504,326,300710129.625
192,291,298698535.15999997
262,71,298677331.9225
370,246,298501197.7475
433,181,298072987.9475
373,297,297910040.74
502,102,297703517.4775
414,261,297405690.375
341,229,297383990.1275
320,283,295395718.25
419,120,294284200.715
450,175,294226788.6875
367,229,292691053.99
186,284,291259605.47249997
341,230,289568455.9275
247,177,289560756.8275
192,288,289043182.84749997
330,320,288923225.49
379,288,288364077.0275
237,132,287100547.4275
183,234,284829994.4375
